customer_id,full_name,gender,age,city,state,occupation,annual_income,joining_date,risk_category
35,Charles Vala,Female,54,Ambala,Uttar Pradesh,Teacher,1550474,07-02-2019,Low
36,Nitara Iyer,Male,48,Hubli–Dharwad,Assam,Data Analyst,1350306,22-02-2021,Low
37,Michael Vohra,Female,43,Fatehpur,Haryana,Lawyer,593825,19-10-2017,High
38,Niharika Narain,Male,43,Kolhapur,Jharkhand,Business,1200318,04-08-2023,Low
39,Rajeshri Gokhale,Female,29,Haldia,Madhya Pradesh,Student,1537350,23-12-2024,Medium
40,Ikshita Ghose,Male,37,Guntakal,Himachal Pradesh,Teacher,2327476,28-03-2026,Low
41,Xalak Khosla,Male,23,Hyderabad,West Bengal,Accountant,1692577,30-09-2019,Low
42,Ayushman Prashad,Female,40,Bulandshahr,Karnataka,Accountant,614758,08-10-2022,Low
43,Meghana Pillay,Male,68,Hindupur,Maharashtra,Software Engineer,1110863,14-01-2017,Low
44,Chakrika Shetty,Female,37,Davanagere,Gujarat,Teacher,1737575,12-09-2025,High
45,Forum Kumar,Female,35,Ahmednagar,Karnataka,Lawyer,1593161,10-04-2023,Low
46,Vasana Reddy,Male,48,Adoni,Rajasthan,Data Analyst,1154588,11-06-2021,Low
47,Shivansh Dhaliwal,Female,61,Pali,Nagaland,Business,591311,09-12-2021,Low
48,Ekta Mahajan,Male,25,Jalgaon,Telangana,Data Analyst,1112522,13-04-2026,Low
49,Anirudh Kibe,Female,38,Panihati,Karnataka,Farmer,1922483,29-08-2025,Low
50,Bakhshi Kakar,Female,57,Rampur,Uttarakhand,Data Analyst,855323,21-12-2017,Low
51,Hemang Kakar,Male,66,Deoghar,Maharashtra,Accountant,1409030,20-12-2023,Low
52,Janaki Thaker,Female,27,Gulbarga,Jharkhand,Teacher,1532337,13-11-2023,High
53,Zaitra Nath,Female,47,Ambattur,Bihar,Software Engineer,247015,28-10-2020,Low
54,Ethan Kalla,Female,23,Darbhanga,Punjab,Farmer,2368313,20-11-2016,Low
55,Chameli Parsa,Male,33,Rajahmundry,Assam,Sales Executive,2346930,27-12-2020,High
56,Advika Dar,Male,69,Bhavnagar,West Bengal,Lawyer,1607655,02-12-2021,Medium
57,Varsha Kaur,Female,32,Solapur,Himachal Pradesh,Farmer,331022,02-03-2026,Medium
58,Reva Rao,Male,62,Kharagpur,West Bengal,Teacher,710859,04-07-2018,Low
59,Manya Apte,Male,30,Mirzapur,Chhattisgarh,Sales Executive,1497043,20-03-2018,Low
60,Zansi Kara,Female,53,Bettiah,Manipur,Lawyer,1766273,13-07-2025,Low
61,Lila Kant,Female,62,Maheshtala,Telangana,Teacher,362126,17-03-2022,Low
62,Eta Malhotra,Female,47,Siliguri,West Bengal,Student,2238418,29-04-2020,Low
63,Triveni Mukherjee,Female,64,Karimnagar,Andhra Pradesh,Farmer,1741637,01-10-2017,Low
64,Charita Din,Female,62,Kishanganj,Madhya Pradesh,Accountant,279619,07-04-2023,Low
65,Xalak Mody,Male,18,Kakinada,Rajasthan,Data Analyst,1481550,17-03-2022,Low
66,Urvi Bajaj,Female,66,Sikar,Sikkim,Doctor,1394847,14-07-2022,Low
67,Vinaya Buch,Female,20,Dewas,Manipur,Software Engineer,1949481,25-11-2022,Low
68,Amol Bhardwaj,Male,49,Mathura,Telangana,Doctor,1095905,21-09-2018,Low
69,Mekhala Sen,Female,53,Jalgaon,Goa,Teacher,1345170,02-10-2018,Low
70,Bhavna Bava,Female,48,Aurangabad,Kerala,Sales Executive,1353534,01-12-2025,Medium
71,Yashasvi Chopra,Male,46,Dewas,Manipur,Accountant,642453,31-08-2022,Low
72,Ishita Sahota,Male,49,Siwan,Andhra Pradesh,Accountant,699528,20-06-2019,Low
73,Suhani Munshi,Male,24,Bhusawal,Odisha,Farmer,215780,13-07-2018,Low
74,Irya Jhaveri,Male,62,Navi Mumbai,Odisha,Farmer,2341977,21-09-2021,Low
75,Hema Bhasin,Female,60,Navi Mumbai,Uttar Pradesh,Lawyer,452180,26-11-2016,Low
76,Mahika Raval,Female,58,Fatehpur,Goa,Accountant,1215389,15-01-2021,High
77,Avi Bhardwaj,Female,29,Bihar Sharif,Tripura,Data Analyst,1266322,24-09-2021,Low
78,Pahal Luthra,Male,51,Panihati,Uttarakhand,Teacher,2015947,22-05-2022,Low
79,Agastya Raghavan,Male,52,Gulbarga,Manipur,Accountant,963756,16-06-2023,Low
80,Samuel Sachdeva,Female,22,Tinsukia,Kerala,Sales Executive,1636509,27-05-2023,Low
81,Brinda Chacko,Female,25,Satara,Uttarakhand,Doctor,1378677,21-12-2016,Low
82,Jagat Aurora,Female,24,Gaya,Odisha,Business,1194225,04-09-2024,Low
83,Maya Sankar,Female,31,Agartala,Nagaland,Sales Executive,1429538,08-05-2021,Medium
84,Laban Buch,Male,63,Siliguri,Goa,Doctor,1687118,03-02-2026,Low
85,Wishi Ramesh,Male,57,Jehanabad,Madhya Pradesh,Farmer,1997145,15-06-2024,Low
86,Anya Arora,Male,56,Proddatur,Meghalaya,Student,999026,27-07-2021,Low
87,Libni Barman,Male,25,Kottayam,Telangana,Business,254790,29-07-2021,Medium
88,Qadim Toor,Male,34,Gandhidham,Goa,Accountant,2082006,25-03-2022,Low
89,Devansh Jain,Female,33,Sambalpur,Tripura,Software Engineer,2092682,28-07-2024,Low
90,Kamya Sandal,Male,60,Gwalior,Arunachal Pradesh,Business,1835573,21-07-2017,Low
91,Yatin Thaker,Male,48,Bhilwara,Manipur,Student,948257,29-05-2019,High
92,Liam Rao,Female,66,Junagadh,Sikkim,Lawyer,2292169,15-05-2025,Low
93,Faraj Sahota,Male,49,Allahabad,Goa,Data Analyst,2263517,20-03-2023,Medium
94,Jacob Basak,Male,50,Durgapur,Maharashtra,Data Analyst,1436866,21-07-2019,High
95,Qabil Swaminathan,Female,44,Anantapuram,Jharkhand,Business,1352224,24-01-2019,Low
96,Vidhi Salvi,Male,28,Gorakhpur,Haryana,Lawyer,1043351,12-06-2020,Low
97,Harish Konda,Female,36,North Dumdum,Manipur,Sales Executive,2150687,11-10-2021,Low
98,Ethan Issac,Male,18,Loni,Bihar,Farmer,216786,05-01-2022,Low
99,Siya Sood,Female,55,Hosur,Odisha,Teacher,2434796,10-06-2022,Low
100,Ikshita Balakrishnan,Male,64,Indore,Arunachal Pradesh,Data Analyst,909956,31-05-2019,Low
101,Dhruv Nagy,Female,20,Jaunpur,Kerala,Software Engineer,1792451,29-08-2019,Medium
102,George Bora,Female,62,Panihati,Madhya Pradesh,Teacher,2370021,29-11-2024,Low
103,Qabil Saha,Female,46,Meerut,Rajasthan,Software Engineer,756529,10-07-2021,Medium
104,Yashvi Barad,Male,67,Tinsukia,Goa,Data Analyst,2080231,05-04-2019,Low
105,Abdul Magar,Female,48,Bhilai,Kerala,Lawyer,1841855,27-01-2026,High
106,Azad Mangat,Female,52,Thanjavur,Karnataka,Student,335592,01-02-2017,Low
107,Amruta Shenoy,Female,34,Ahmednagar,Bihar,Farmer,1263763,08-05-2026,Medium
108,Abha Sawhney,Male,43,Burhanpur,Karnataka,Lawyer,558080,15-11-2023,Low
109,Zansi Gera,Female,55,Berhampore,Himachal Pradesh,Sales Executive,534678,17-02-2024,Low
110,Agastya Edwin,Male,27,Bokaro,Sikkim,Student,2324650,08-01-2025,Low
111,Yutika Ahuja,Female,21,Muzaffarpur,Gujarat,Software Engineer,972103,26-03-2025,Low
112,Ethan Kata,Male,70,Bulandshahr,Chhattisgarh,Software Engineer,1622035,12-12-2018,Medium
113,Siya Wagle,Male,57,Chandrapur,Chhattisgarh,Business,1451684,05-02-2022,Low
114,Atharv Varghese,Female,35,Shimoga,Rajasthan,Doctor,2047978,13-10-2018,Low
115,Xavier Goda,Male,62,Navi Mumbai,Madhya Pradesh,Doctor,1014109,02-05-2023,Low
116,Hemang Date,Male,19,Ratlam,Meghalaya,Data Analyst,670380,06-02-2018,Low
117,Panini Dyal,Male,68,Kharagpur,Karnataka,Doctor,456145,14-03-2017,Low
118,Praneel Chakrabarti,Male,38,Raipur,Meghalaya,Software Engineer,1586141,06-09-2019,Low
119,Yatan Raghavan,Female,66,Ahmednagar,Tripura,Software Engineer,1468009,11-08-2024,Low
120,Pratyush Chaudhary,Female,41,South Dumdum,Odisha,Accountant,2235738,26-01-2018,Low
121,Wridesh Bava,Male,60,Jamalpur,Odisha,Student,2217682,11-09-2018,High
122,Chatresh Edwin,Female,67,Eluru,Odisha,Software Engineer,1819128,01-11-2016,Low
123,Madhav Raj,Female,50,Raiganj,Odisha,Lawyer,1692526,10-06-2023,Low
124,Upma Pillai,Female,62,Mysore,Meghalaya,Business,450543,13-12-2021,Low
125,Anusha Bains,Female,19,Allahabad,Nagaland,Farmer,439771,01-02-2025,Low
126,Jagvi Balasubramanian,Female,64,Ongole,Chhattisgarh,Teacher,578649,02-03-2025,Low
127,Hiral Jha,Female,69,Berhampore,Goa,Lawyer,1961918,11-10-2024,High
128,Hardik Bakshi,Female,57,Proddatur,Maharashtra,Lawyer,807947,30-04-2017,Medium
129,Aarush Prabhakar,Male,46,Panchkula,Gujarat,Software Engineer,2393827,02-05-2019,Low
130,Damyanti Dave,Male,19,Phagwara,Madhya Pradesh,Software Engineer,1557138,13-07-2024,Medium
131,Upma Pandey,Female,58,Raebareli,Telangana,Farmer,1212996,28-10-2020,High
132,Pushti Sastry,Female,61,Bally,Andhra Pradesh,Teacher,1820843,10-07-2017,Low
133,Jagat Pandya,Male,37,Malda,Assam,Doctor,699817,01-10-2024,Low
134,Yadavi Doshi,Female,27,Madurai,Kerala,Teacher,963788,02-11-2016,Low
135,Hemangini Sanghvi,Male,43,Mysore,Nagaland,Sales Executive,302327,24-08-2025,Low
136,Yashvi Khatri,Female,70,Panihati,Himachal Pradesh,Lawyer,1941755,09-09-2019,Low
137,Anmol Sule,Male,58,Mysore,Assam,Teacher,1568898,14-04-2021,Low
138,Gagan Bumb,Female,30,Ozhukarai,Kerala,Farmer,2362577,06-10-2023,Low
139,Hiral Viswanathan,Female,18,Visakhapatnam,Telangana,Lawyer,1955491,19-08-2025,High
140,Avi Saini,Male,29,Bihar Sharif,Arunachal Pradesh,Sales Executive,1313967,13-04-2026,Low
141,Azaan Chowdhury,Male,26,Jalandhar,Assam,Software Engineer,281847,22-02-2023,Low
142,Aradhana Bhardwaj,Male,19,Bokaro,Rajasthan,Accountant,1592152,24-08-2016,High
143,Zashil Karan,Female,38,Rourkela,Assam,Student,704475,14-03-2024,Medium
144,Nathan Ganguly,Male,54,Jammu,Uttar Pradesh,Doctor,715426,10-03-2026,Low
145,Ishani Chakraborty,Male,26,Navi Mumbai,Meghalaya,Business,338172,22-07-2024,Low
146,Ijaya Dixit,Female,28,Bulandshahr,Maharashtra,Business,2290679,22-07-2018,Low
147,Kala Lad,Male,23,Kumbakonam,Meghalaya,Data Analyst,607275,26-01-2018,Medium
148,Indrajit Mandal,Female,53,Arrah,Meghalaya,Accountant,1234203,19-01-2020,Medium
149,Amruta Sane,Male,30,Sagar,Assam,Sales Executive,1983940,27-08-2017,Medium
150,Chakradev Sanghvi,Female,24,Tumkur,Kerala,Business,2236350,29-03-2024,Medium
151,Chakradhar Varty,Male,21,Karawal Nagar,Assam,Student,1290175,08-01-2020,Medium
152,Riya Bath,Male,50,Singrauli,Andhra Pradesh,Teacher,2364234,16-08-2023,Low
153,Arunima Raju,Male,27,Meerut,Haryana,Lawyer,1391599,31-03-2022,Low
154,Laksh Bhavsar,Male,22,Mira-Bhayandar,Andhra Pradesh,Student,821926,02-05-2017,Low
155,Arya Narang,Female,29,Moradabad,Jharkhand,Sales Executive,1317227,30-08-2019,Low
156,Yuvraj Gokhale,Female,66,North Dumdum,Nagaland,Farmer,1525678,24-05-2023,Low
157,Mekhala Mahajan,Female,52,Purnia,Rajasthan,Software Engineer,473878,08-11-2017,Low
158,Jagrati Goswami,Male,67,Dhule,Madhya Pradesh,Doctor,1365075,06-04-2026,Low
159,Anjali Lata,Male,66,Kamarhati,Telangana,Student,207061,05-05-2024,Low
160,Yahvi Sani,Male,43,Moradabad,Jharkhand,Doctor,1681628,14-06-2024,Low
161,Leela Merchant,Female,52,Srikakulam,Chhattisgarh,Data Analyst,1631136,22-03-2021,Medium
162,Vedika Jain,Female,68,Barasat,Kerala,Lawyer,2333652,29-01-2026,Low
163,Balvan Modi,Female,27,Tiruppur,Goa,Business,1143997,16-08-2020,Low
164,Tripti Palla,Male,25,Hajipur,Punjab,Student,2016777,26-08-2016,Medium
165,Pranav Murthy,Male,34,Khandwa,Jharkhand,Doctor,1941467,30-04-2020,High
166,Keya Bakshi,Female,66,Rohtak,Assam,Software Engineer,2124369,06-06-2025,High
167,Advay Sarkar,Male,26,Ujjain,Kerala,Software Engineer,1300658,17-11-2017,High
168,Andrew Chawla,Female,50,Serampore,Andhra Pradesh,Sales Executive,1232612,14-10-2016,Low
169,Saksham Palan,Male,44,Jamshedpur,Uttarakhand,Software Engineer,669518,18-11-2016,Medium
170,Januja Chaudhuri,Female,62,Kottayam,Haryana,Software Engineer,277088,27-04-2026,Low
171,Kala Sarraf,Male,18,Chittoor,Manipur,Teacher,1217273,26-09-2023,Low
172,Jairaj Memon,Male,59,Jalgaon,Uttar Pradesh,Doctor,653009,30-03-2024,Medium
173,Nidhi Rout,Female,64,Rewa,Uttar Pradesh,Lawyer,1333598,06-07-2017,Low
174,Advik Bawa,Male,27,Kulti,Tamil Nadu,Accountant,2355972,04-12-2018,High
175,Ranbir Oak,Male,40,Jalgaon,Telangana,Teacher,364900,02-03-2019,High
176,Jeet Mallick,Female,24,Coimbatore,Arunachal Pradesh,Accountant,686307,18-02-2018,High
177,Isaiah Manne,Female,53,Kolkata,Punjab,Student,388338,19-03-2019,High
178,Charan Chowdhury,Male,34,Amritsar,Arunachal Pradesh,Farmer,416551,31-03-2018,High
179,Manthan Nair,Male,65,Tirupati,Kerala,Business,302125,09-07-2024,Low
180,Kamya Yadav,Female,65,Bardhaman,Uttar Pradesh,Business,1496484,19-06-2026,Medium
181,Simon Ben,Male,44,Nandyal,Kerala,Doctor,678376,06-05-2022,Medium
182,Chameli Comar,Female,26,Shimoga,Himachal Pradesh,Data Analyst,603602,15-04-2020,Low
183,Nathan Bawa,Female,37,Ghaziabad,Tripura,Software Engineer,1016469,02-06-2026,Low
184,Nicholas Arya,Female,48,Rohtak,Mizoram,Lawyer,1152869,20-04-2022,Low
185,Vanya Dayal,Male,62,Tiruppur,West Bengal,Accountant,1318015,15-12-2019,Low
186,Advaith Gill,Female,30,Patna,Nagaland,Sales Executive,1084436,23-04-2021,Low
187,Indrajit Agarwal,Female,68,Noida,Rajasthan,Sales Executive,2171775,05-05-2019,Low
188,Peter Balasubramanian,Male,52,Raebareli,Karnataka,Farmer,783954,17-06-2018,Low
189,Ekta Chana,Male,31,Madurai,Tripura,Farmer,581656,19-02-2022,Low
190,Zinal Chandran,Female,44,Pali,Jharkhand,Doctor,594864,05-01-2018,High
191,Jeevika Sankar,Female,56,Kozhikode,Tamil Nadu,Software Engineer,2399088,13-01-2018,Low
192,Dhruv Venkatesh,Female,19,Loni,Bihar,Software Engineer,2064563,31-10-2024,Medium
193,Meera Mane,Female,19,Jaunpur,Bihar,Lawyer,888349,26-09-2018,Low
194,Ubika Gola,Female,38,Dhanbad,Odisha,Business,1199575,13-10-2017,Low
195,Ekiya Banerjee,Male,30,Pune,Mizoram,Lawyer,349543,05-06-2024,High
196,Nikita Dass,Female,70,Patiala,Goa,Farmer,1443656,17-10-2023,Low
197,Advika Verma,Male,38,Mango,Haryana,Sales Executive,1203903,22-05-2019,Medium
198,Atharv Srinivas,Female,55,Panihati,Uttarakhand,Sales Executive,1270708,12-11-2025,Medium
199,Amrita Sharma,Male,28,Anand,Manipur,Software Engineer,2077677,28-03-2024,Low
200,Advay Krish,Female,53,Nanded,Tamil Nadu,Lawyer,1680621,25-08-2017,Low
201,Mitali Randhawa,Male,50,Kharagpur,Maharashtra,Business,1689478,09-09-2019,High
202,Arya Kanda,Female,67,Berhampore,Kerala,Software Engineer,2300518,27-12-2021,Medium
203,Tejas Khosla,Female,32,Singrauli,Maharashtra,Teacher,1482400,31-07-2017,Low
204,Aditya Dada,Male,56,Eluru,Arunachal Pradesh,Sales Executive,710180,10-02-2021,Low
205,Wishi Bali,Male,47,Miryalaguda,Maharashtra,Farmer,841975,30-06-2024,Low
206,Yadavi Saraf,Male,68,Tinsukia,Goa,Doctor,1506937,30-04-2018,Low
207,Tanvi Arora,Female,57,Phagwara,Assam,Farmer,612362,20-08-2024,Low
208,Veer Srivastava,Female,64,Mau,Tamil Nadu,Teacher,2119057,05-01-2024,Low
209,Shravya Desai,Female,60,Junagadh,Kerala,Business,2214318,18-08-2024,Low
210,Pratyush Ganguly,Male,26,Muzaffarpur,Andhra Pradesh,Teacher,1502681,04-07-2026,High
211,Nidhi Babu,Female,70,Raiganj,Gujarat,Student,2281211,15-09-2024,Low
212,Damini Aurora,Male,60,Alwar,Haryana,Lawyer,1281436,28-01-2017,Low
213,Michael Nayak,Female,25,Udupi,Tripura,Business,1723993,27-10-2021,Low
214,Advik Nigam,Female,22,Mira-Bhayandar,Goa,Teacher,1805435,05-12-2018,Low
215,Chandani Deep,Male,19,Srikakulam,Assam,Business,2021960,21-03-2025,Medium
216,Panini Borra,Female,70,Gwalior,Punjab,Lawyer,864729,01-03-2022,Low
217,Jackson Ravi,Male,48,Hapur,Goa,Business,1558252,14-12-2018,Low
218,Logan Ramakrishnan,Female,66,Hosur,Madhya Pradesh,Accountant,909407,17-02-2026,Low
219,Amaira Saraf,Male,29,Bhilai,West Bengal,Student,1929757,09-09-2017,Low
220,Wahab Venkataraman,Female,64,Bathinda,Uttarakhand,Software Engineer,2211385,27-02-2025,Low
221,Oscar Butala,Male,61,Sambhal,Uttarakhand,Sales Executive,524658,01-03-2019,Low
222,Vedika Memon,Male,20,Panvel,Uttar Pradesh,Farmer,1490380,30-03-2026,Low
223,Tanay Nagi,Male,19,Gopalpur,Haryana,Business,855200,29-05-2020,Medium
224,Krish Dugar,Female,55,Bhilai,West Bengal,Lawyer,1747722,09-01-2017,Low
225,Ekaraj Kara,Male,25,Tinsukia,West Bengal,Lawyer,1438430,30-08-2021,High
226,Nidhi Aggarwal,Female,54,Satna,Uttarakhand,Lawyer,270747,08-06-2017,Low
227,Chatura Luthra,Female,53,Karnal,Jharkhand,Sales Executive,748043,10-12-2020,Medium
228,Anthony Sharma,Female,35,Unnao,Jharkhand,Software Engineer,407696,04-08-2025,Low
229,Nicholas Randhawa,Female,25,Gudivada,Mizoram,Software Engineer,1459638,11-02-2017,Low
230,Diya Ray,Male,48,Mau,Manipur,Sales Executive,924495,27-12-2020,High
231,Yahvi Sankaran,Female,65,Ahmedabad,Odisha,Teacher,1269661,22-04-2026,Low
232,Vihaan Nath,Male,61,Karaikudi,Jharkhand,Student,1997381,22-08-2024,High
233,Lucky Mallick,Female,18,Guntur,Chhattisgarh,Sales Executive,875707,20-06-2024,Low
234,Aarav Sundaram,Male,47,Visakhapatnam,Jharkhand,Business,912305,10-01-2017,Low
235,Atharv Mittal,Male,31,Bokaro,Uttar Pradesh,Student,967244,02-03-2021,Low
236,Fitan Behl,Male,30,Rajkot,Punjab,Doctor,1596157,29-08-2020,Low
237,Udarsh Rattan,Female,44,Rajkot,Chhattisgarh,Data Analyst,1595272,01-04-2023,High
238,Aradhana Iyengar,Female,54,Suryapet,Mizoram,Student,1715913,13-08-2016,Low
239,Janani Dora,Male,44,Mango,Nagaland,Business,266586,14-12-2017,Low
240,Eiravati Buch,Male,39,Latur,Uttarakhand,Student,2108983,05-12-2022,Medium
241,Oviya Patil,Male,31,Jaipur,Haryana,Farmer,2473830,19-09-2016,Low
242,Faraj Sahni,Female,34,Rampur,Uttarakhand,Farmer,2042362,10-04-2024,Low
243,Onveer Loyal,Female,32,Narasaraopet,Assam,Farmer,1665159,12-01-2017,Low
244,Odika Toor,Female,67,Chandrapur,West Bengal,Software Engineer,1269919,21-06-2017,Low
245,Ekiya Patil,Female,62,Bijapur,Mizoram,Business,2122667,23-09-2023,Low
246,Radha Mohanty,Female,24,Chittoor,Punjab,Teacher,1744819,03-06-2020,Low
247,Sudiksha Bhargava,Female,67,Chittoor,Haryana,Business,2222694,22-04-2026,Medium
248,Ojas Parekh,Female,52,Vasai-Virar,Andhra Pradesh,Doctor,1442528,12-05-2023,Low
249,Girindra Warrior,Male,33,Kadapa,Tamil Nadu,Business,1809488,18-07-2017,Low
250,Watika Gade,Female,63,Farrukhabad,Andhra Pradesh,Lawyer,306012,17-01-2019,Low
251,Nimrat Sastry,Male,36,Kishanganj,Haryana,Accountant,421351,03-11-2025,Medium
252,Urvashi Kala,Male,33,Pali,Arunachal Pradesh,Student,1687490,11-09-2017,Low
253,Samar Dyal,Male,28,Pimpri-Chinchwad,Himachal Pradesh,Farmer,1052110,15-08-2024,Low
254,Karan Shenoy,Male,56,Srikakulam,Himachal Pradesh,Software Engineer,1004242,15-09-2021,Low
255,Chatura Tella,Male,36,Panvel,Goa,Lawyer,1500182,24-11-2023,High
256,Anvi Bail,Female,65,Mahbubnagar,Assam,Software Engineer,1057657,15-06-2019,Low
257,Michael Sani,Female,37,Uluberia,Himachal Pradesh,Software Engineer,2181565,20-01-2023,Medium
258,Zaid Apte,Female,38,Fatehpur,Bihar,Teacher,1659875,03-10-2017,Low
259,Idika Saha,Female,69,Vadodara,Jharkhand,Farmer,1479231,17-08-2021,Low
260,Kavya Krishnamurthy,Female,41,Gandhinagar,Sikkim,Accountant,1185500,20-04-2025,Low
261,Kevin Nayak,Male,46,Erode,Rajasthan,Business,1942877,11-12-2024,Medium
262,Tanvi Goda,Female,30,Jammu,Rajasthan,Business,1179699,24-04-2017,Low
263,Zinal Chokshi,Female,23,Rajkot,Punjab,Farmer,1817338,14-11-2024,Low
264,Gagan Goyal,Female,20,Haldia,Maharashtra,Doctor,1045507,14-11-2016,Low
265,Ekalinga Rana,Female,66,Silchar,Madhya Pradesh,Farmer,1438187,17-09-2024,Low
266,Yauvani Pillay,Female,29,Bahraich,Odisha,Accountant,1645624,20-05-2020,Low
267,Vinaya Deep,Female,49,Surat,Haryana,Accountant,913819,14-10-2023,Medium
268,Kavya Arora,Female,62,Ranchi,Uttar Pradesh,Student,869656,08-03-2023,Medium
269,Nathaniel Tripathi,Male,40,Mangalore,Karnataka,Accountant,1345632,30-11-2020,Medium
270,Triveni Pradhan,Female,52,Kishanganj,Meghalaya,Data Analyst,758199,20-02-2022,Low
271,Brijesh Dhar,Female,35,Thanjavur,Andhra Pradesh,Teacher,992415,08-02-2023,High
272,Anusha Khanna,Male,38,Mango,Assam,Business,1313207,14-02-2021,Low
273,Wridesh Ahuja,Female,49,Bhopal,Arunachal Pradesh,Business,864551,28-12-2016,High
274,Damini Chowdhury,Male,18,Hubli–Dharwad,Bihar,Teacher,1830871,24-08-2019,Low
275,Mitesh Sengupta,Female,47,Nandyal,Sikkim,Teacher,551622,06-07-2022,Medium
276,Krish Bhatia,Male,30,Gangtok,Tamil Nadu,Accountant,558576,28-07-2021,Low
277,Ekaja Shankar,Female,33,Aurangabad,Bihar,Teacher,1232599,15-05-2017,Low
278,Januja Oza,Female,61,Mathura,Tamil Nadu,Lawyer,1165007,03-12-2022,Low
279,Vaishnavi Kapur,Male,34,Adoni,Manipur,Doctor,2380213,11-01-2024,High
280,Faris Lala,Male,59,Arrah,Odisha,Data Analyst,442041,09-07-2020,Medium
281,Chatresh Nayar,Female,67,Raipur,Kerala,Sales Executive,701406,08-03-2022,Medium
282,Isaac Sandhu,Male,61,Surat,Bihar,Sales Executive,1297608,16-08-2018,High
283,Manbir Comar,Female,53,Madurai,Himachal Pradesh,Lawyer,412953,29-01-2022,Medium
284,Warhi Gera,Female,65,Shimoga,Haryana,Accountant,2221905,09-07-2025,Medium
285,Falguni Saini,Female,24,Hubli–Dharwad,Meghalaya,Software Engineer,1369637,15-03-2022,Medium
286,Harshil Pradhan,Male,63,Erode,Madhya Pradesh,Doctor,1828658,21-10-2025,Low
287,Chaitaly Kalla,Male,20,Thoothukudi,Goa,Farmer,1059852,14-01-2019,Low
288,Tanmayi Jayaraman,Female,69,Navi Mumbai,Uttar Pradesh,Business,833647,21-10-2020,Low
289,Balveer Tailor,Female,66,Kolkata,Mizoram,Farmer,1865531,18-07-2022,Low
290,Garima Lanka,Male,28,Suryapet,Gujarat,Student,1590742,18-08-2021,Low
